pk_name,pk_address,pk_code,pk_type_cd,pk_type_nm,oper_se,oper_se_nm,phone,weekday_start,weekday_end,weekend_start,weekend_end,holi_start,holi_end,parking_space,fee_type,basic_fee,basic_time,extra_fee,extra_time,daily_max_fee,monthly_fee,latitude,longitude,coord_src,PRK_STTS_YN,PRK_STTS_NM,NOW_PRK_VHCL_CNT,NOW_PRK_VHCL_UPDT_TM,PAY_YN,PAY_YN_NM,NGHT_PAY_YN,NGHT_PAY_YN_NM,LHLDY_OPER_BGNG_TM,LHLDY_OPER_END_TM,LHLDY_CHGD_FREE_SE,LHLDY_CHGD_FREE_SE_NAME,PRD_AMT,STRT_PKLT_MNG_NO,BSC_PRK_CRG,BSC_PRK_HR,ADD_PRK_CRG,ADD_PRK_HR,BUS_BSC_PRK_CRG,BUS_BSC_PRK_HR,BUS_ADD_PRK_HR,BUS_ADD_PRK_CRG,DAY_MAX_CRG,SHRN_PKLT_MNG_NM,SHRN_PKLT_MNG_URL,SHRN_PKLT_YN,SHRN_PKLT_ETC,collected_at
마장동(건물) 공영주차장(구),성동구 마장동 463-2,1013181,NW,노외 주차장,1,시간제 주차장,02-2204-7970,0000,2400,0000,2400,0000,2400,52,유료,50.0,5.0,,,,20000.0,37.5699393404733,127.035135249291,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:04
영등포여고 공영(구),영등포구 신길동 184-3,1025695,NW,노외 주차장,1,시간제 주차장,02-2677-1401,0000,2400,0000,2400,0000,2400,98,유료,50.0,5.0,50.0,5.0,,65000.0,37.5152323474497,126.91529156353,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:04
당산근린공원 공영(구),영등포구 당산동3가 385-0,1025696,NW,노외 주차장,1,시간제 주차장,02-2677-1401,0000,2400,0000,2400,0000,2400,190,유료,150.0,5.0,150.0,5.0,,100000.0,37.5255122202678,126.895769419966,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:05
대림운동장(구),영등포구 대림동 780-0,1025697,NW,노외 주차장,1,시간제 주차장,02-2677-1401,0000,2400,0000,2400,0000,2400,192,유료,50.0,5.0,50.0,5.0,,65000.0,37.4996905784057,126.894703834406,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:06
은평평화공원지하 공영주차장(구),은평구 녹번동 153-1,1032247,NW,노외 주차장,1,시간제 주차장,02-350-5183,0000,2400,0000,2400,0000,2400,66,유료,150.0,5.0,150.0,5.0,,120000.0,37.6053518906412,126.923140000525,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:06
압구정 428 공영주차장(구),강남구 압구정동 428-0,1033125,NW,노외 주차장,1,시간제 주차장,02-2176-0971,0900,2100,0900,2100,0900,2100,344,유료,400.0,5.0,400.0,5.0,,200000.0,37.5270144226192,127.026458030391,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:07
포이초교 공영주차장(구),강남구 개포동 1273-0,1033754,NW,노외 주차장,1,시간제 주차장,02-3423-6403,0000,2400,0000,2400,0000,2400,189,유료,200.0,5.0,200.0,5.0,,120000.0,37.4755999893596,127.052323681063,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:08
구로디지털단지역 공영주차장(시),구로구 구로동 810-3,1037932,NW,노외 주차장,1,시간제 주차장,02-2290-6034,0000,2400,0000,2400,0000,2400,91,유료,320.0,5.0,320.0,5.0,,168000.0,37.48543179,126.90124331,서울API,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),22.0,2026-06-28 01:16:53,Y,유료,N,야간 미개방,0000,2400,N,무료,168000,,320.0,5.0,320.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*,2026-06-28 01:08:08
논현로22길(구),강남구 개포동 1266-0,1040225,NW,노외 주차장,1,시간제 주차장,02-3423-6403,0000,2400,0000,2400,0000,2400,86,유료,200.0,5.0,200.0,5.0,,120000.0,37.481445220709,127.048024743784,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:09
신당동 공영주차장(구),중구 신당동 300-6,1041839,NW,노외 주차장,1,시간제 주차장,02-2280-8360,0000,2400,0000,2400,0000,2400,75,유료,250.0,5.0,250.0,5.0,,175000.0,37.5620652845073,127.01445544028,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:09
