pk_name,pk_address,pk_code,pk_type_cd,pk_type_nm,oper_se,oper_se_nm,phone,weekday_start,weekday_end,weekend_start,weekend_end,holi_start,holi_end,parking_space,fee_type,basic_fee,basic_time,extra_fee,extra_time,daily_max_fee,monthly_fee,latitude,longitude,coord_src,PRK_STTS_YN,PRK_STTS_NM,NOW_PRK_VHCL_CNT,NOW_PRK_VHCL_UPDT_TM,PAY_YN,PAY_YN_NM,NGHT_PAY_YN,NGHT_PAY_YN_NM,LHLDY_OPER_BGNG_TM,LHLDY_OPER_END_TM,LHLDY_CHGD_FREE_SE,LHLDY_CHGD_FREE_SE_NAME,PRD_AMT,STRT_PKLT_MNG_NO,BSC_PRK_CRG,BSC_PRK_HR,ADD_PRK_CRG,ADD_PRK_HR,BUS_BSC_PRK_CRG,BUS_BSC_PRK_HR,BUS_ADD_PRK_HR,BUS_ADD_PRK_CRG,DAY_MAX_CRG,SHRN_PKLT_MNG_NM,SHRN_PKLT_MNG_URL,SHRN_PKLT_YN,SHRN_PKLT_ETC,collected_at,카카오맵_매칭된_주차장명,카카오맵_유사도,카카오맵_별점,카카오맵_리뷰수,카카오맵_URL,카카오맵_후기_URL
마장동(건물) 공영주차장(구),성동구 마장동 463-2,1013181,NW,노외 주차장,1,시간제 주차장,02-2204-7970,0,2400,0.0,2400.0,0.0,2400.0,52,유료,50.0,5.0,,,,20000.0,37.5699393404733,127.035135249291,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:04,마장동 공영주차장,100.0%,평가 없음,0,https://place.map.kakao.com/9205446,
영등포여고 공영(구),영등포구 신길동 184-3,1025695,NW,노외 주차장,1,시간제 주차장,02-2677-1401,0,2400,0.0,2400.0,0.0,2400.0,98,유료,50.0,5.0,50.0,5.0,,65000.0,37.5152323474497,126.91529156353,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:04,,,조건 불일치 제외,,,
당산근린공원 공영(구),영등포구 당산동3가 385-0,1025696,NW,노외 주차장,1,시간제 주차장,02-2677-1401,0,2400,0.0,2400.0,0.0,2400.0,190,유료,150.0,5.0,150.0,5.0,,100000.0,37.5255122202678,126.895769419966,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:05,당산근린공원공영주차장,100.0%,평가 없음,0,https://place.map.kakao.com/27138985,
대림운동장(구),영등포구 대림동 780-0,1025697,NW,노외 주차장,1,시간제 주차장,02-2677-1401,0,2400,0.0,2400.0,0.0,2400.0,192,유료,50.0,5.0,50.0,5.0,,65000.0,37.4996905784057,126.894703834406,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:06,대림운동장 공영주차장,88.9%,평가 없음,0,https://place.map.kakao.com/226047629,
은평평화공원지하 공영주차장(구),은평구 녹번동 153-1,1032247,NW,노외 주차장,1,시간제 주차장,02-350-5183,0,2400,0.0,2400.0,0.0,2400.0,66,유료,150.0,5.0,150.0,5.0,,120000.0,37.6053518906412,126.923140000525,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:06,은평평화공원 공영주차장,91.7%,5.0,2,https://place.map.kakao.com/20562858,https://place.map.kakao.com/20562858#review
압구정 428 공영주차장(구),강남구 압구정동 428-0,1033125,NW,노외 주차장,1,시간제 주차장,02-2176-0971,900,2100,900.0,2100.0,900.0,2100.0,344,유료,400.0,5.0,400.0,5.0,,200000.0,37.5270144226192,127.026458030391,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:07,압구정428 공영노외주차장,91.7%,3.0,3,https://place.map.kakao.com/20346733,https://place.map.kakao.com/20346733#review
포이초교 공영주차장(구),강남구 개포동 1273-0,1033754,NW,노외 주차장,1,시간제 주차장,02-3423-6403,0,2400,0.0,2400.0,0.0,2400.0,189,유료,200.0,5.0,200.0,5.0,,120000.0,37.4755999893596,127.052323681063,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:08,포이초교 공영주차장 전기차충전소,75.0%,평가 없음,0,https://place.map.kakao.com/1689126460,
구로디지털단지역 공영주차장(시),구로구 구로동 810-3,1037932,NW,노외 주차장,1,시간제 주차장,02-2290-6034,0,2400,0.0,2400.0,0.0,2400.0,91,유료,320.0,5.0,320.0,5.0,,168000.0,37.48543179,126.90124331,서울API,1.0,현재~20분이내 연계데이터 존재(현재 주차대수 표현),22.0,2026-06-28 01:16:53,Y,유료,N,야간 미개방,0.0,2400.0,N,무료,168000.0,,320.0,5.0,320.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*,2026-06-28 01:08:08,,,,,,
논현로22길(구),강남구 개포동 1266-0,1040225,NW,노외 주차장,1,시간제 주차장,02-3423-6403,0,2400,0.0,2400.0,0.0,2400.0,86,유료,200.0,5.0,200.0,5.0,,120000.0,37.481445220709,127.048024743784,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:09,논현로22길 공영주차장 1 전기차충전소,66.7%,평가 없음,0,https://place.map.kakao.com/211239231,
신당동 공영주차장(구),중구 신당동 300-6,1041839,NW,노외 주차장,1,시간제 주차장,02-2280-8360,0,2400,0.0,2400.0,0.0,2400.0,75,유료,250.0,5.0,250.0,5.0,,175000.0,37.5620652845073,127.01445544028,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:09,신당동 공영주차장,100.0%,5.0,1,https://place.map.kakao.com/20515675,https://place.map.kakao.com/20515675#review
남산동 공영주차장(구),중구 남산동2가 30-4,1041840,NW,노외 주차장,1,시간제 주차장,02-2280-8360,0,2400,0.0,2400.0,0.0,2400.0,48,유료,300.0,5.0,300.0,5.0,,240000.0,37.5592456159986,126.9855535929,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:10,남산동공영주차장,100.0%,3.4,7,https://place.map.kakao.com/20514233,https://place.map.kakao.com/20514233#review
역삼1문화센터 공영주차장(구),강남구 역삼동 829-20,1042402,NW,노외 주차장,1,시간제 주차장,02-3423-6403,0,2400,0.0,2400.0,0.0,2400.0,115,유료,400.0,5.0,400.0,5.0,,280000.0,37.4953548359191,127.033249568198,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:11,역삼1동문화센터 공영주차장,96.0%,평가 없음,0,https://place.map.kakao.com/17766850,
언북초교 공영주차장(구),강남구 청담동 27-0,1042405,NW,노외 주차장,1,시간제 주차장,02-3423-6403,0,2400,0.0,2400.0,0.0,2400.0,220,유료,300.0,5.0,300.0,5.0,,180000.0,37.5199695812957,127.045626398748,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:11,쏘카존 [배달호출존] 언북초등학교 공영주차장,60.0%,평가 없음,0,https://place.map.kakao.com/352113685,
삼성1문화센터 공영주차장(구),강남구 삼성동 161-2,1042406,NW,노외 주차장,1,시간제 주차장,02-3423-6403,0,2400,0.0,2400.0,0.0,2400.0,68,유료,400.0,5.0,400.0,5.0,,280000.0,37.5143443033382,127.062629702701,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:12,삼성1동주민센터 공영주차장,80.0%,평가 없음,0,https://place.map.kakao.com/510616976,
논현초교 공영주차장(구),강남구 논현동 168-0,1042410,NW,노외 주차장,1,시간제 주차장,02-3423-6403,0,2400,0.0,2400.0,0.0,2400.0,186,유료,300.0,5.0,300.0,5.0,,180000.0,37.5082170904646,127.026316463846,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:13,논현초교 공영주차장,100.0%,1.0,5,https://place.map.kakao.com/26821248,https://place.map.kakao.com/26821248#review
언주초 공영주차장(구),강남구 도곡동 922-0,1042421,NW,노외 주차장,1,시간제 주차장,02-3423-6403,0,2400,0.0,2400.0,0.0,2400.0,203,유료,200.0,5.0,200.0,5.0,,120000.0,37.4865474901998,127.037172110144,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:14,언주초등학교 공영주차장,84.2%,5.0,1,https://place.map.kakao.com/12412287,https://place.map.kakao.com/12412287#review
구파발역 공영주차장(시),은평구 진관동 70-1,1051043,NW,노외 주차장,1,시간제 주차장,02-2290-6088,0,2400,0.0,2400.0,0.0,2400.0,399,유료,240.0,5.0,240.0,5.0,,109000.0,37.638209,126.918987,서울API,1.0,현재~20분이내 연계데이터 존재(현재 주차대수 표현),60.0,2026-06-28 01:16:53,Y,유료,N,야간 미개방,0.0,2400.0,N,무료,109000.0,,240.0,5.0,240.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*,2026-06-28 01:08:14,,,,,,
살곶이(평면) 공영주차장(구),성동구 사근동 104-0,1052723,NW,노외 주차장,1,시간제 주차장,02-2204-7970,0,2400,0.0,2400.0,0.0,2400.0,203,유료,50.0,5.0,,,,,37.5538739335068,127.048618251308,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:14,살곶이체육공원 공영주차장,80.0%,3.9,8,https://place.map.kakao.com/183069213,https://place.map.kakao.com/183069213#review
마장축산물시장(건물) 공영주차장(구),성동구 마장동 525-1,1052741,NW,노외 주차장,1,시간제 주차장,02-2204-7970,0,2400,0.0,2400.0,0.0,2400.0,107,유료,250.0,5.0,,,,30000.0,37.5714774409112,127.039917891441,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:15,마장축산물시장 공영주차장,100.0%,평가 없음,0,https://place.map.kakao.com/25612945,
볏골공원 지하공영주차장(구),강서구 화곡동 98-99,1053712,NW,노외 주차장,3,시간제 + 거주자 주차장,02-2065-1575,0,2400,0.0,2400.0,0.0,2400.0,219,유료,100.0,5.0,100.0,5.0,,60000.0,37.5414780944294,126.844388675502,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:16,볏골공원공영주차장,90.0%,3.5,4,https://place.map.kakao.com/27478544,https://place.map.kakao.com/27478544#review
잠원동 방음언덕형 공영주차장(구),서초구 잠원동 10-33,1140909,NW,노외 주차장,1,시간제 주차장,070-7119-3701,0,2400,0.0,2400.0,0.0,2400.0,92,유료,150.0,5.0,150.0,5.0,,120000.0,37.5161853965859,127.016300864401,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:16,잠원동방음언덕형 공영주차창,92.3%,2.4,9,https://place.map.kakao.com/19305552,https://place.map.kakao.com/19305552#review
반포서래 공영주차장(구),서초구 반포동 95-13,1140911,NW,노외 주차장,1,시간제 주차장,02-1588-5783,0,2400,0.0,2400.0,0.0,2400.0,7,유료,150.0,5.0,150.0,5.0,,,37.4981469389514,126.997817876589,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:17,반포서래공영주차장,100.0%,5.0,1,https://place.map.kakao.com/17766755,https://place.map.kakao.com/17766755#review
