pk_name,pk_address,pk_code,pk_type_cd,pk_type_nm,oper_se,oper_se_nm,phone,weekday_start,weekday_end,weekend_start,weekend_end,holi_start,holi_end,parking_space,fee_type,basic_fee,basic_time,extra_fee,extra_time,daily_max_fee,monthly_fee,latitude,longitude,coord_src,PRK_STTS_YN,PRK_STTS_NM,NOW_PRK_VHCL_CNT,NOW_PRK_VHCL_UPDT_TM,PAY_YN,PAY_YN_NM,NGHT_PAY_YN,NGHT_PAY_YN_NM,LHLDY_OPER_BGNG_TM,LHLDY_OPER_END_TM,LHLDY_CHGD_FREE_SE,LHLDY_CHGD_FREE_SE_NAME,PRD_AMT,STRT_PKLT_MNG_NO,BSC_PRK_CRG,BSC_PRK_HR,ADD_PRK_CRG,ADD_PRK_HR,BUS_BSC_PRK_CRG,BUS_BSC_PRK_HR,BUS_ADD_PRK_HR,BUS_ADD_PRK_CRG,DAY_MAX_CRG,SHRN_PKLT_MNG_NM,SHRN_PKLT_MNG_URL,SHRN_PKLT_YN,SHRN_PKLT_ETC,collected_at,카카오맵_매칭된_주차장명,카카오맵_유사도,카카오맵_별점,카카오맵_리뷰수,카카오맵_URL,카카오맵_후기_URL
마장동(건물) 공영주차장(구),성동구 마장동 463-2,1013181,NW,노외 주차장,1,시간제 주차장,02-2204-7970,0,2400,0,2400,0,2400,52,유료,50,5,,,,20000,37.56993934,127.0351352,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 1:08,마장동 공영주차장,100.00%,평가 없음,0,https://place.map.kakao.com/9205446,https://place.map.kakao.com/9205446#review
영등포여고 공영(구),영등포구 신길동 184-3,1025695,NW,노외 주차장,1,시간제 주차장,02-2677-1401,0,2400,0,2400,0,2400,98,유료,50,5,50,5,,65000,37.51523235,126.9152916,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 1:08,쏘카존 영등포여고 공영주차장,87.00%,5,1,https://place.map.kakao.com/1093853838,https://place.map.kakao.com/1093853838#review
당산근린공원 공영(구),영등포구 당산동3가 385-0,1025696,NW,노외 주차장,1,시간제 주차장,02-2677-1401,0,2400,0,2400,0,2400,190,유료,150,5,150,5,,100000,37.52551222,126.8957694,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 1:08,당산근린공원공영주차장,100.00%,평가 없음,0,https://place.map.kakao.com/27138985,https://place.map.kakao.com/27138985#review
대림운동장(구),영등포구 대림동 780-0,1025697,NW,노외 주차장,1,시간제 주차장,02-2677-1401,0,2400,0,2400,0,2400,192,유료,50,5,50,5,,65000,37.49969058,126.8947038,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 1:08,대림운동장 공영주차장,88.90%,평가 없음,0,https://place.map.kakao.com/226047629,https://place.map.kakao.com/226047629#review
은평평화공원지하 공영주차장(구),은평구 녹번동 153-1,1032247,NW,노외 주차장,1,시간제 주차장,02-350-5183,0,2400,0,2400,0,2400,66,유료,150,5,150,5,,120000,37.60535189,126.92314,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 1:08,은평평화공원 공영주차장,91.70%,5,2,https://place.map.kakao.com/20562858,https://place.map.kakao.com/20562858#review
압구정 428 공영주차장(구),강남구 압구정동 428-0,1033125,NW,노외 주차장,1,시간제 주차장,02-2176-0971,900,2100,900,2100,900,2100,344,유료,400,5,400,5,,200000,37.52701442,127.026458,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 1:08,압구정428 공영노외주차장,91.70%,3,3,https://place.map.kakao.com/20346733,https://place.map.kakao.com/20346733#review
포이초교 공영주차장(구),강남구 개포동 1273-0,1033754,NW,노외 주차장,1,시간제 주차장,02-3423-6403,0,2400,0,2400,0,2400,189,유료,200,5,200,5,,120000,37.47559999,127.0523237,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 1:08,포이초교공영주차장,100.00%,평가 없음,0,https://place.map.kakao.com/1213188150,https://place.map.kakao.com/1213188150#review
구로디지털단지역 공영주차장(시),구로구 구로동 810-3,1037932,NW,노외 주차장,1,시간제 주차장,02-2290-6034,0,2400,0,2400,0,2400,91,유료,320,5,320,5,,168000,37.48543179,126.9012433,서울API,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),22,2026-06-28 1:16,Y,유료,N,야간 미개방,0,2400,N,무료,168000,,320,5,320,5,0,0,0,0,0,*,*,N,*,2026-06-28 1:08,구로디지털단지역 공영주차장,100.00%,평가 없음,1,https://place.map.kakao.com/1108867781,https://place.map.kakao.com/1108867781#review
논현로22길(구),강남구 개포동 1266-0,1040225,NW,노외 주차장,1,시간제 주차장,02-3423-6403,0,2400,0,2400,0,2400,86,유료,200,5,200,5,,120000,37.48144522,127.0480247,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 1:08,논현로22길 공영주차장,90.00%,평가 없음,0,https://place.map.kakao.com/17766897,https://place.map.kakao.com/17766897#review
신당동 공영주차장(구),중구 신당동 300-6,1041839,NW,노외 주차장,1,시간제 주차장,02-2280-8360,0,2400,0,2400,0,2400,75,유료,250,5,250,5,,175000,37.56206528,127.0144554,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 1:08,신당동 공영주차장,100.00%,5,1,https://place.map.kakao.com/20515675,https://place.map.kakao.com/20515675#review
남산동 공영주차장(구),중구 남산동2가 30-4,1041840,NW,노외 주차장,1,시간제 주차장,02-2280-8360,0,2400,0,2400,0,2400,48,유료,300,5,300,5,,240000,37.55924562,126.9855536,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 1:08,남산동공영주차장,100.00%,3.4,7,https://place.map.kakao.com/20514233,https://place.map.kakao.com/20514233#review
